skin_color;age;sex;complement;death_type;city;neighborhood;date;hour
Parda;27.0;Masculino;Homicídio;PAF;São Luís do Quitunde;Zona Rural;13/02/2016;18
Parda;37.0;Masculino;Homicídio;PAF;Jaramataia;Zona Rural;13/02/2016;20
Indígena;28.0;Masculino;Homicídio;PAF;Maceió;Prado;13/02/2016;20
Parda;35.0;Masculino;Homicídio;PAF;Arapiraca;Olho d Água dos Cazuzinhos;13/02/2016;21
Parda;43.0;Masculino;Homicídio;PAF;Maceió;Benedito Bentes;14/02/2016;13
Parda;42.0;Masculino;Homicídio;BRANCA;Pilar;Chã do Pilar;14/02/2016;15
Parda;20.0;Masculino;Homicídio;PAF/B;Maceió;Vergel do Lago;14/02/2016;16
Branca;51.0;Feminino;Homicídio;ASFIXIA MECÂNICA;Junqueiro;Zona Rural;14/02/2016;17
Parda;34.0;Masculino;Homicídio;PAF;Arapiraca;Canafístula;14/02/2016;22
Parda;35.0;Masculino;Homicídio;BRANCA;Maceió;Cidade Universitária;15/02/2016;03
Parda;46.0;Masculino;Homicídio;PAF;Maceió;Benedito Bentes;16/02/2016;11
Parda;16.0;Masculino;Homicídio;PAF;Feira Grande;Zona Rural;16/02/2016;17
Parda;32.0;Masculino;Homicídio;PAF;São Luís do Quitunde;Centro;16/02/2016;19
Parda;17.0;Feminino;Homicídio;PAF;Coruripe;Centro;16/02/2016;19
Branca;25.0;Masculino;Homicídio;PAF;Maceió;Vergel do Lago;16/02/2016;23
Parda;48.0;Masculino;Homicídio;ESPANCAMENTO;Olho d Água do Casado;Zona Rural;17/02/2016;08
Preta;17.0;Masculino;Homicídio;PAF;Maceió;Cidade Universitária;17/02/2016;10
Parda;21.0;Masculino;Homicídio;PAF;Arapiraca;Bom Sucesso;17/02/2016;19
Preta;27.0;Masculino;Homicídio;PAF;Pilar;Chã do Pilar;17/02/2016;19
Branca;38.0;Masculino;Homicídio;PAF/B;Igreja Nova;Zona Rural;18/02/2016;05
Parda;NA;Masculino;Homicídio;PAF;Craíbas;Zona Rural;18/02/2016;11
Parda;23.0;Masculino;Homicídio;PAF;São Luís do Quitunde;Centro;19/02/2016;08
Parda;13.0;Masculino;Homicídio;PAF;São Miguel dos Campos;Centro;19/02/2016;11
Branca;24.0;Masculino;Homicídio;PAF;Rio Largo;Tabuleiro do Pinto;19/02/2016;12
Parda;19.0;Masculino;Homicídio;ESPANCAMENTO;Pão de Açúcar;Zona Rural;19/02/2016;16
Parda;30.0;Masculino;Homicídio;PAF;Feira Grande;Zona Rural;19/02/2016;18
Parda;22.0;Masculino;Resistência com Resultado Morte;PAF;Maceió;Ponta Verde;19/02/2016;19
Parda;20.0;Masculino;Resistência com Resultado Morte;PAF;Maceió;Ponta Verde;19/02/2016;19
Preta;41.0;Masculino;Homicídio;PAF/B;Maceió;Clima Bom;19/02/2016;19
Parda;33.0;Masculino;Resistência com Resultado Morte;PAF;Maceió;Ponta Verde;19/02/2016;19
Parda;15.0;Masculino;Homicídio;PAF;São Miguel dos Campos;Zona Rural;19/02/2016;20
Preta;20.0;Masculino;Homicídio;PAF;Penedo;Zona Rural;19/02/2016;20
Parda;19.0;Masculino;Homicídio;PAF;Coité do Nóia;Zona Rural;20/02/2016;11
Parda;22.0;Masculino;Homicídio;PAF;Arapiraca;Zona Rural Leste;20/02/2016;13
Branca;21.0;Masculino;Homicídio;PAF;Arapiraca;Vila São José;20/02/2016;20
Parda;17.0;Masculino;Homicídio;PAF;Limoeiro de Anadia;Zona Rural;20/02/2016;20
Parda;21.0;Masculino;Homicídio;BRANCA;Murici;Centro;20/02/2016;23
Parda;24.0;Masculino;Homicídio;BRANCA;Maceió;Barro Duro;20/02/2016;23
Parda;17.0;Masculino;Homicídio;PAF;Satuba;Zona Rural;20/02/2016;23
Parda;22.0;Masculino;Resistência com Resultado Morte;PAF;Piranhas;Zona Rural;21/02/2016;01
Parda;19.0;Masculino;Resistência com Resultado Morte;PAF;Piranhas;Zona Rural;21/02/2016;01
Parda;33.0;Masculino;Homicídio;PAF;Matriz de Camaragibe;Zona Rural;21/02/2016;07
Parda;58.0;Feminino;Feminicídio;ESPANCAMENTO;Joaquim Gomes;Zona Rural;21/02/2016;07
Branca;34.0;Masculino;Homicídio;PAF;Rio Largo;Mata do Rolo;21/02/2016;15
Parda;25.0;Masculino;Homicídio;PAF;Arapiraca;Cavaco;21/02/2016;19
Parda;28.0;Masculino;Homicídio;BRANCA;São Sebastião;Centro;21/02/2016;21
Parda;19.0;Masculino;Homicídio;PAF;União dos Palmares;Centro;21/02/2016;22
Parda;30.0;Masculino;Homicídio;PAF;Passo de Camaragibe;Centro;22/02/2016;00
Parda;47.0;Masculino;Homicídio;ESPANCAMENTO;Delmiro Gouveia;Centro;22/02/2016;05
Parda;38.0;Masculino;Homicídio;PAF;Maceió;Poço;22/02/2016;15
Parda;39.0;Masculino;Homicídio;PAF;Murici;Centro;22/02/2016;17
Parda;17.0;Masculino;Homicídio;PAF;Rio Largo;Tabuleiro do Pinto;22/02/2016;18
Branca;25.0;Masculino;Homicídio;PAF;São Luís do Quitunde;Centro;22/02/2016;19
Branca;37.0;Feminino;Homicídio;PAF;Dois Riachos;Zona Rural;23/02/2016;04
Parda;27.0;Masculino;Roubo com Resultado Morte;PAF;São Luís do Quitunde;Zona Rural;23/02/2016;09
Parda;32.0;Masculino;Homicídio;BRANCA;Ibateguara;Centro;23/02/2016;15
Branca;32.0;Feminino;Feminicídio;PAF;Penedo;Centro;23/02/2016;15
Parda;18.0;Masculino;Homicídio;PAF;Boca da Mata;Centro;23/02/2016;20
Parda;29.0;Masculino;Homicídio;PAF;São José da Tapera;Zona Rural;24/02/2016;05
Preta;17.0;Masculino;Resistência com Resultado Morte;PAF;Maceió;Benedito Bentes;24/02/2016;09
Parda;16.0;Masculino;Lesão Corporal Seguida de Morte;BRANCA;Santana do Mundaú;Centro;24/02/2016;16
Branca;38.0;Masculino;Homicídio;BRANCA;Maragogi;Zona Rural;24/02/2016;16
Parda;20.0;Masculino;Homicídio;PAF;Santana do Ipanema;Zona Rural;24/02/2016;17
Parda;19.0;Masculino;Homicídio;BRANCA;Rio Largo;Centro;24/02/2016;19
Parda;24.0;Masculino;Homicídio;PAF;Colônia Leopoldina;Zona Rural;25/02/2016;11
Parda;26.0;Masculino;Homicídio;PAF;Maceió;Vergel do Lago;25/02/2016;18
Parda;17.0;Masculino;Homicídio;PAF;Paripueira;Centro;25/02/2016;23
Parda;20.0;Masculino;Homicídio;PAF;Maceió;Ipioca;26/02/2016;23
Parda;21.0;Masculino;Homicídio;BRANCA;Branquinha;Zona Rural;26/02/2016;23
